ID,Migratory route codes,Migration nodes,Bird orders,Bird families,Bird genera,English Name,Bird species,Species Authority,Migration type,The IUCN Red List (2023),Migration start year,Migration start month,Migration end year,Migration end month,"Continents (1 = North America, 2 = South America, 3 = Europe, 4 = Africa, 5 = Asia, 6 = Oceania)",Countries,Provinces,GPS_xx,GPS_yy,"Migration patterns (1 = Intercontinental migration, 2 = Intracontinental migration)","Migration routes (1 = North America↔North America, 2 = South America↔South America, 3 = Europe↔Europe, 4 = Africa↔Africa, 5 = Asia↔Asia, 6 = Oceania↔Oceania, 7 = Europe→Africa, 8 = Africa→Europe, 9 = North America→South America, 10 = South America→North America, 11 = Europe→Asia, 12 = Asia→Europe, 13 = Asia→Africa, 14 = Africa→Asia, 15 = Europe→North America, 16 = North America→Europe, 17 = Asia→Oceania, 18 = Oceania→Asia, 19 = North America→Oceania, 20 = Oceania→North America, 21 = North America→Asia)",References,Publish time,DOI
13666,561,Origin,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Algeria,Ouargla,-70.95462034,6.547832809,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13667,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Apure,-68.78671091,7.12458817,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13668,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Barinas,-69.85877206,8.141256481,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13669,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Mérida,-71.25037877,8.528325445,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13670,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Portuguesa,-69.24748853,9.030893242,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13671,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Táchira,-72.02370324,7.927277442,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13672,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Falcón,-69.78912362,11.07843589,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13673,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Lara,-69.76569099,10.18108198,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13674,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Trujillo,-70.51010381,9.469217812,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13675,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Yaracuy,-68.70080951,10.31458899,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13676,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2015,5,2,Venezuela,Zulia,-72.08512396,9.930203264,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
13677,561,Transit locations,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,Setophaga striata,"Forster, 1772",Full migrant,Near Threatened,2013 ,5 ,2013,5,1,Cuba,Santiago de Cuba,-75.90126929,20.1955547,1,10,Transoceanic migration by a 12 g songbird,2015,DOI:10.1098/rsbl.2014.1045 
