Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-19.3194985778995,-19.728822741569,-24.9973664805646,-31.2636378685046,-23.0681253856225,-31.9212652932236,-36.4554333268122,-36.1379061263187
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,5.3613,5.3341,4.984,4.5676,5.1122,4.5239,4.2226,4.2437
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.0244422333699,2.04549315439886,1.94096037816015,1.80646079858255,2.0532886275877,1.84525761573088,1.74914408919284,1.7852214941728
Albania,ALB,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0542,0.0465,0.0664,0.0606,0.0483,0.0607,0.062,0.0633
Albania,ALB,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,0.7568,0.7636,0.7747,0.7445,0.7956,0.7827,0.7439,0.7557
Albania,ALB,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,0.2694,0.1622,0.2058,0.1409,0.154,0.14,0.126,0.1256
Albania,ALB,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,1.0967,1.2787,0.9101,0.9816,1.2002,1.0451,0.9392,0.9233
Albania,ALB,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,0.8698,0.8732,0.8373,1.1049,1.1626,0.8245,0.8186,0.8218
Albania,ALB,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,0,0,0,0,0,0,0,0
Albania,ALB,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.3118,2.2073,2.1869,1.5325,1.7487,1.6681,1.5301,1.551
Albania,ALB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0026,0.0027,0.0027,0.0028,0.0028,0.0029,0.0029,0.0029
Albania,ALB,Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,3.5072,3.5072,3.5072,3.5072,3.5072,3.5072,3.5072,..
Albania,ALB,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,-2.1616,-2.1616,-2.1616,-2.1616,-2.1616,-2.1616,-2.1616,..
Albania,ALB,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,0,0,0,0,..,..,..,..
Albania,ALB,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,0,0,0,0,0,0,0,..
Albania,ALB,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,1.3456,1.3456,1.3456,1.3456,1.3456,1.3456,1.3456,..
Albania,ALB,F-gases emissions from Industrial Processes (Mt CO2e),EN.GHG.FGAS.IP.MT.CE.AR5,0.1369,0.154,0.169,0.1843,0.2001,0.2155,0.231,0.2464
Albania,ALB,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CH4.MT.CE.AR5,2.7294,2.7526,2.5424,2.3584,2.3172,2.1589,2.0485,1.9071
Albania,ALB,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,1.9533,1.9102,1.7559,1.5737,1.4787,1.35,1.2102,1.0701
Albania,ALB,Methane (CH4) emissions from Building (Energy) (Mt CO2e),EN.GHG.CH4.BU.MT.CE.AR5,0.0561,0.0543,0.0538,0.0539,0.0509,0.0494,0.0487,0.0487
Albania,ALB,Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CH4.FE.MT.CE.AR5,0.2428,0.2989,0.2277,0.2116,0.2485,0.2354,0.2621,0.2569
Albania,ALB,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CH4.IC.MT.CE.AR5,0.0022,0.0033,0.002,0.0023,0.0032,0.0024,0.0022,0.0022
Albania,ALB,Methane (CH4) emissions from Industrial Processes (Mt CO2e),EN.GHG.CH4.IP.MT.CE.AR5,0.0016,0.0029,0.002,0.0016,0.0032,0.0025,0.0023,0.0022
Albania,ALB,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5,0,0,0,0,0,0,0,0
