,Country Name,Country Code,Year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Agricultural land (% of land area),Agricultural land (sq. km),Alternative and nuclear energy (% of total energy use),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Waste (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Electric power consumption (kWh per capita),Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),F-gases emissions from Industrial Processes (Mt CO2e),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","Industry (including construction), value added (current US$)",Land area (sq. km),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Methane (CH4) emissions from Agriculture (Mt CO2e),Methane (CH4) emissions from Building (Energy) (Mt CO2e),Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Processes (Mt CO2e),Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),Methane (CH4) emissions from Transport (Energy) (Mt CO2e),Methane (CH4) emissions from Waste (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Waste (Mt CO2e),Population density (people per sq. km of land area),Population in the largest city (% of urban population),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Total greenhouse gas emissions including LULUCF (Mt CO2e),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP_per_capita_log
0,Albania,ALB,2017,99.9,99.7,100.0,42.8569708029197,11742.81,16.98,-19.3194985778995,5.3613,2.0244422333699,0.0542,0.7568,0.2694,1.0967,0.8698,0.0,2.3118,0.0026,3.5072,-2.1616,0.0,0.0,1.3456,2327.54405209409,2.64,894.466399568989,0.1369,28.7920620437956,7889.025,0.183422579574961,0.0,3.28317593330073,5006.36012951959,4.88935288088643,4700.0,3043214465.69555,27400.0,2.7294,1.9533,0.0561,0.2428,0.0022,0.0016,0.0,0.0051,0.4683,0.7586,0.0236,0.0005,0.0033,0.0453,0.0,0.0134,0.1222,96.6527372262774,31.4769409052308,13.5,17.7,9.1947,3.47194505123127,10.5403,1482517.0,55.980276426546,-0.814539434305938,8.518664134952077
1,Albania,ALB,2018,100.0,100.0,100.0,42.8496715328467,11740.81,31.74,-19.728822741569,5.3341,2.04549315439886,0.0465,0.7636,0.1622,1.2787,0.8732,0.0,2.2073,0.0027,3.5072,-2.1616,0.0,0.0,1.3456,2502.55681850864,2.53,904.739774695665,0.154,28.7919708029197,7889.0,0.140052548330499,0.0,3.67141928098908,5897.65452588774,5.28357949627288,5400.0,3653185141.24662,27400.0,2.7526,1.9102,0.0543,0.2989,0.0033,0.0029,0.0,0.0055,0.4775,0.7371,0.0233,0.0003,0.0048,0.048,0.0,0.0131,0.1237,95.1727372262774,32.3486119216794,13.5,17.7,9.1911,3.52455561976629,10.5367,1470162.0,56.377000259892,-0.836872014010015,8.682479557427557
2,Albania,ALB,2019,100.0,100.0,100.0,42.8467153284672,11740.0,19.8,-24.9973664805646,4.984,1.94096037816015,0.0664,0.7747,0.2058,0.9101,0.8373,0.0,2.1869,0.0027,3.5072,-2.1616,0.0,0.0,1.3456,2553.9362279242,2.45,908.317252679183,0.169,28.7919708029197,7889.0,0.138045383470044,0.0,2.06257790176122,6069.43903131027,3.64975808463876,5900.0,3579202093.98867,27400.0,2.5424,1.7559,0.0538,0.2277,0.002,0.002,0.0,0.0055,0.4953,0.7606,0.0233,0.0003,0.003,0.0439,0.0,0.0132,0.1266,93.7153649635036,33.248444000483,14.2,18.6,8.6662,3.37495000586105,10.0118,1457584.0,56.7639071287255,-0.859232828535257,8.7111862094957
3,Albania,ALB,2020,100.0,100.0,100.0,42.538503649635,11655.55,21.75,-31.2636378685046,4.5676,1.80646079858255,0.0606,0.7445,0.1409,0.9816,1.1049,0.0,1.5325,0.0028,3.5072,-2.1616,0.0,0.0,1.3456,2642.69442510916,2.34,855.185594249541,0.1843,28.7919708029197,7889.0,0.134209573343306,0.0,-3.31375636888916,6027.91350716348,-1.81016536329729,5970.0,3576974730.78693,27400.0,2.3584,1.5737,0.0539,0.2116,0.0023,0.0016,0.0,0.004,0.5113,0.6855,0.0218,0.0003,0.0034,0.0382,0.0,0.0097,0.1279,92.2802919708029,34.1717683131517,14.2,18.6,7.9972,3.16284882617225,9.3428,1444795.0,57.1408592155544,-0.881282752690579,8.704322092253388
24,Austria,AUT,2017,100.0,100.0,100.0,32.1694134755211,26546.2,12.4,13.8410434669612,70.0851,7.96641934826064,0.0664,8.9793,6.1535,10.6354,5.4755,14.2256,24.5485,0.0008,1.2377,-5.7211,0.3041011952,1.5565,-4.6461,8458.13489776604,2.95,3839.94805232106,2.3867,47.1204556471159,38883.8,0.0599693477007981,0.0,2.27224992038207,47163.7425775142,1.56430689663536,44800.0,107060575329.317,82520.0,8.9185,5.4694,0.7397,0.7469,0.063,0.0194,0.0885,0.0278,1.7637,2.0402,0.17,0.0035,0.0809,0.5831,0.1077,0.2408,0.2412,106.61131846825,31.4438672393262,28.4,28.4,84.8577,9.64558833659219,80.2116,5973998.0,67.9051196052802,0.964952397392997,10.761401913155654
25,Austria,AUT,2018,100.0,100.0,100.0,32.1477217644207,26528.3,12.47,9.23721655512961,67.2508,7.60710822359904,0.0541,8.1878,5.3981,10.5431,5.3631,12.9081,24.7957,0.0008,1.2409,0.8055,0.3041011952,1.5396,1.6166,8396.45084265961,2.8,3717.62532112148,2.4205,47.1639602520601,38919.7,0.0782044589524903,0.0,2.48422114080024,51194.0749841299,1.98626296400239,48710.0,116400059695.618,82520.0,8.7145,5.3837,0.6829,0.7767,0.0604,0.017,0.0859,0.0275,1.6803,2.0012,0.1622,0.0025,0.0776,0.5728,0.1059,0.2431,0.2414,107.131858943286,31.5663113655177,28.4,28.4,81.7926,9.2520112785208,83.4092,6020808.0,68.1046787227623,0.780508457343464,10.843398614684666
26,Austria,AUT,2019,100.0,100.0,100.0,32.1280901599612,26512.1,13.49,11.7157754531869,68.7767,7.74519365039325,0.0529,8.4202,6.2069,10.6506,5.5806,13.0349,24.8298,0.0008,1.244,4.4495,0.3041011952,1.5566,5.7884,8339.93999945946,2.81,3765.98011899602,2.3229,47.1037324285022,38870.0,0.0605276373347633,0.0,1.75497619649288,49885.9947355204,1.30350317565873,50900.0,113121973410.266,82520.0,8.5907,5.3065,0.695,0.7742,0.0601,0.018,0.085,0.0268,1.6251,2.0447,0.1625,0.0033,0.0774,0.564,0.1032,0.2439,0.245,107.609306834707,31.5721178548133,28.4,28.4,83.1342,9.36204380219642,88.9226,6066549.0,68.3176044750522,0.756844003891464,10.817515621227933
27,Austria,AUT,2020,100.0,100.0,100.0,31.5398121667475,26026.653,14.51,2.19641348840232,62.9162,7.05586627765098,0.0502,8.4271,5.7537,10.3971,5.2043,11.4109,21.672,0.0008,1.2472,-3.8839,0.3041011952,1.5962,-1.1623,8025.46724947246,2.84,3546.50449865153,2.2248,47.137905962191,38898.2,0.0483056211040267,0.0,-6.31825509209936,48716.4098900349,-6.70639361073974,49000.0,111442475275.642,82520.0,8.4636,5.2711,0.6949,0.7515,0.0584,0.0165,0.0875,0.0224,1.5614,2.0369,0.1622,0.0038,0.0751,0.5264,0.1038,0.2138,0.2461,108.057004362579,31.5778123598489,29.1,29.1,76.9727,8.63226129724531,75.8104,6111709.0,68.5410177924001,0.74165298520757,10.793791737793944
28,Austria,AUT,2021,100.0,100.0,100.0,31.5376684440136,26024.884,13.11,7.53589760249498,66.2034,7.39223990896623,0.0399,9.16,6.1554,10.7234,5.4431,12.2398,22.4409,0.0008,1.2503,-4.5782,0.3041011952,1.6452,-3.5721,8396.01433574254,2.86,3728.13398931398,1.9183,47.1720794958798,38926.4,0.0559934904917667,0.0,4.92309171717903,53648.6437976214,4.4669658436443,53440.0,123601632693.921,82520.0,8.6157,5.3001,0.8411,0.7485,0.0618,0.0185,0.0899,0.0227,1.5331,1.9644,0.1825,0.0036,0.0795,0.5339,0.1047,0.222,0.2502,108.528805138148,31.5771921917436,29.3,29.3,80.0781,8.94148226003783,76.506,6159224.0,68.773601700253,0.774435610983729,10.890230108663484
32,Belarus,BLR,2017,98.7,96.6,99.3,41.8448381185095,84940.0,0.2,-42.9356827993466,60.2218,6.3666212107869,0.5474,7.1955,3.179,4.6454,5.3843,27.9906,11.2574,0.0221,2.8805,-46.7303,18.622,-2.2227,-30.8368,3618.56853835013,6.14,2692.58344898873,0.0607,42.9784026641969,87241.0,1.04002673922668,0.0,2.53218349471909,5785.54491935194,2.64480751685403,5320.0,17268319997.1848,202988.0,18.7773,12.5697,0.2762,2.2764,0.0088,0.0066,0.0495,0.0427,3.5475,12.9175,0.2355,0.003,0.0132,0.8384,0.0498,0.1814,0.1605,46.5987595325832,27.241846045051,9.4,9.4,93.4591,9.88045339729225,62.6223,7285391.0,77.0208206176758,0.117619458619697,8.663290660042405
