Country Name,Country Code,Year,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
Albania,ALB,2017,5.3613,2.0244422333699,2.7294,0.7586,9.1947,3.47194505123127
Albania,ALB,2018,5.3341,2.04549315439886,2.7526,0.7371,9.1911,3.52455561976629
Albania,ALB,2019,4.984,1.94096037816015,2.5424,0.7606,8.6662,3.37495000586105
Albania,ALB,2020,4.5676,1.80646079858255,2.3584,0.6855,7.9972,3.16284882617225
Albania,ALB,2021,5.1122,2.0532886275877,2.3172,0.6575,8.4963,3.41249484890524
Albania,ALB,2022,4.5239,1.84525761573088,2.1589,0.6178,7.6976,3.13978094627424
Albania,ALB,2023,4.2226,1.74914408919284,2.0485,0.5841,7.2612,3.00783523432176
Albania,ALB,2024,4.2437,1.7852214941728,1.9071,0.5545,7.1243,2.99701993329766
Armenia,ARM,2017,5.6892,1.90951198227831,2.5129,0.3404,8.9353,2.99902664966101
Armenia,ARM,2018,5.9516,2.00458066689121,2.3761,0.3244,9.0795,3.05810037049512
Armenia,ARM,2019,6.4247,2.16867510548523,2.3417,0.3439,9.5603,3.22710548523207
Armenia,ARM,2020,6.9145,2.33479655579943,2.5666,0.3291,10.2818,3.47182171197029
Armenia,ARM,2021,7.4634,2.51946122945009,2.6393,0.3125,10.908,3.68227390878709
Armenia,ARM,2022,7.7742,2.61828101845615,2.6396,0.2993,11.2215,3.77930082177017
Armenia,ARM,2023,7.4987,2.52966973653139,2.4179,0.2846,10.726,3.61839220051952
Armenia,ARM,2024,7.4936,2.47028185264546,2.462,0.2828,10.7806,3.55384868963244
Austria,AUT,2017,70.0851,7.96641934826064,8.9185,2.0402,84.8577,9.64558833659219
Austria,AUT,2018,67.2508,7.60710822359904,8.7145,2.0012,81.7926,9.2520112785208
Austria,AUT,2019,68.7767,7.74519365039325,8.5907,2.0447,83.1342,9.36204380219642
Austria,AUT,2020,62.9162,7.05586627765098,8.4636,2.0369,76.9727,8.63226129724531
Austria,AUT,2021,66.2034,7.39223990896623,8.6157,1.9644,80.0781,8.94148226003783
Austria,AUT,2022,62.6472,6.92858132698714,8.3911,1.9716,76.0792,8.41411786148655
Austria,AUT,2023,58.4761,6.40359510066021,8.2247,1.9626,71.5963,7.84036069275138
Austria,AUT,2024,58.0304,6.32278424603578,8.2113,1.9604,70.9999,7.73589444825671
Belarus,BLR,2017,60.2218,6.3666212107869,18.7773,12.9175,93.4591,9.88045339729225
Belarus,BLR,2018,63.4486,6.722115187495,18.8396,12.8016,96.6775,10.242578891245
Belarus,BLR,2019,61.2475,6.50202478662403,18.8422,12.7498,94.4282,10.0244825822489
Belarus,BLR,2020,58.1601,6.20046882969124,18.8844,13.1079,91.7181,9.77809907769251
Belarus,BLR,2021,58.6423,6.30387145078492,18.8014,12.8183,91.8916,9.87807152528034
Belarus,BLR,2022,55.8945,6.05700801391753,18.5879,13.1163,89.203,9.66648392713927
